ID,Character,Date,Moment,Sentiment,Line,CharLimit,Source,Notes
,,,,,,120,,
# ============================================================,,,,,,,,
# PARIS DATE 1 (The Easy One / guaranteeFlower = true),,,,,,,,
# ============================================================,,,,,,,,
P1-E1,Paris,1,E1-NoMusic,,It's quiet. I don't mind quiet.,36,paris-dates.html,
P1-E2-LIKE,Paris,1,E2-MusicJudge,Like,You have a record player.,26,paris-dates.html,
P1-E2-NEUTRAL,Paris,1,E2-MusicJudge,Neutral,It's not what I'd pick.,23,paris-dates.html,
P1-E2-DISLIKE,Paris,1,E2-MusicJudge,Dislike,This isn't the right one.,26,paris-dates.html,
P1-E3,Paris,1,E3-NoPerfume,,The apartment smells like the apartment. That's fine.,55,paris-dates.html,
P1-E4-LIKE,Paris,1,E4-PerfumeJudge,Like,I can smell something. It's good.,34,paris-dates.html,
P1-E4-NEUTRAL,Paris,1,E4-PerfumeJudge,Neutral,It's faint.,12,paris-dates.html,
P1-E4-DISLIKE,Paris,1,E4-PerfumeJudge,Dislike,It's strong in here.,21,paris-dates.html,
P1-E5,Paris,1,E5-DirtyArea,,You've been busy with other things.,37,paris-dates.html,
P1-E6-LIKE,Paris,1,E6-CleanJudge,Like,You keep this place well.,26,paris-dates.html,
P1-E6-NEUTRAL,Paris,1,E6-CleanJudge,Neutral,It looks lived in.,19,paris-dates.html,
P1-E6-DISLIKE,Paris,1,E6-CleanJudge,Dislike,It could use a morning.,24,paris-dates.html,
P1-T1,Paris,1,T1-PreKitchen,,Should we get a drink?,23,paris-dates.html,
P1-K1,Paris,1,K1-KitchenArrive,,What do you have?,18,paris-dates.html,
P1-K3-LIKE,Paris,1,K3-DrinkVerdict,Like,You picked this for me.,24,paris-dates.html,
P1-K3-NEUTRAL,Paris,1,K3-DrinkVerdict,Neutral,It's drinkable.,16,paris-dates.html,
P1-K3-DISLIKE,Paris,1,K3-DrinkVerdict,Dislike,This isn't really mine.,24,paris-dates.html,
