ID,Character,Date,Day,Moment,Tag,Sentiment,Line,CharLimit,Source,Notes
,,,,,,,120,,
# ============================================================,,,,,,,,,
# CHARACTER PROFILES,,,,,,,,,
# ============================================================,,,,,,,,,
CHAR-PARIS,Paris,0,,CharProfile,cottage,,Paris,30,,Primary: cottage / Secondary: gamer / Hated: weeb
CHAR-SOPHIE,Sophie,0,,CharProfile,groovy,,Sophie,30,,Primary: groovy / Secondary: shredder / Hated: career
CHAR-STERLING,Sterling,0,,CharProfile,career,,Sterling,30,,Primary: career / Secondary: nurturer / Hated: gamer
,,,,,,,,,
# ============================================================,,,,,,,,,
# CHARACTER NEWSPAPER ADS,,,,,,,,,
# ============================================================,,,,,,,,,
AD-PARIS,Paris,0,,NewspaperAd,,,"F, 25, $2,000/mo. Seeking a lover to give me reasons to live, or move to Paris with and co-parent a cat.",104,characters.html,
AD-SOPHIE,Sophie,0,,NewspaperAd,,,,,Sophie's newspaper ad
AD-STERLING,Sterling,0,,NewspaperAd,,,"FINANCE GENT (proudly atypical), unmarried. Seeking wife, or partner to adore and spoil (ski trip on the table). Enjoys the classics: watches, gym, and whiskey. Confident he's a rare breed. Photo appreciated with reply.",220,characters.html,
AD-LIVII,Livii,0,,NewspaperAd,,,"I have strong opinions about what a room should smell like and I will tell you every single one. Vinyl collector, book thief, hopeless about flowers. Mecha figures are a dealbreaker I will not apologize for.",207,characters.html,
AD-CLOVER,Clover,0,,NewspaperAd,,,"I cook from scratch, keep a peaceful home, and take pride in caring for my person. Soft, gentle, and a little catlike -- seeking someone who'll treat me accordingly.",165,characters.html,
AD-LILY,Lily,0,,NewspaperAd,,,"Gentle spirit with a pure heart. Allergic to drama, loves ponds and moonlight.",78,characters.html,
AD-SAGE,Sage,0,,NewspaperAd,,,"Single. Intuitive. Self-employed. I can sense you are reading this right now. You have been through a lot lately (haven't we all), and you sometimes overthink at night. There is a name that starts with a letter, and it still affects you. I'm feeling an upcoming change -- possibly travel, possibly a haircut.",305,characters.html,
